Unnamed: 0,Manufacturer,Category,Screen,GPU,OS,CPU_core,CPU_frequency,RAM_GB,Storage_GB_SSD,Price,Screen_Size_inch,Weight_pounds
30,Asus,4,IPS Panel,3,1,7,2.7,8,256,1515,14.0,2.866006
31,Lenovo,3,IPS Panel,2,1,7,2.7,8,256,1880,14.0,3.4832996
32,Dell,4,IPS Panel,2,1,5,1.6,8,256,2069,13.000000000000002,2.6675902
33,Asus,3,Full HD,3,1,7,1.8,8,256,1420,15.600000000000001,3.7478539999999994
34,HP,3,Full HD,2,1,5,1.6,8,256,1179,17.3,5.51155
35,Acer,4,IPS Panel,2,1,7,1.8,8,256,1123,14.0,3.527392
36,Acer,3,Full HD,3,1,3,2.7,4,256,727,15.600000000000001,4.850164
37,HP,3,Full HD,2,1,7,1.8,8,256,1255,14.0,3.5935305999999994
38,HP,3,IPS Panel,2,1,5,2.5,4,256,888,13.000000000000002,4.105513381974248
39,Lenovo,3,IPS Panel,1,1,5,1.6,8,256,1418,14.0,3.8580849999999995
40,Asus,4,Full HD,2,1,7,1.8,8,256,1396,14.0,2.755775
41,HP,4,Full HD,2,1,5,2.7,4,256,1374,14.0,3.2628375999999997
42,HP,3,Full HD,1,1,5,1.6,6,256,786,15.600000000000001,4.210824199999999
43,Acer,3,IPS Panel,3,1,5,1.6,4,256,1023,17.0,6.613859999999999
44,Dell,3,Full HD,1,1,5,1.6,8,256,925,15.600000000000001,4.6958405999999995
45,Lenovo,1,IPS Panel,3,1,7,2.8,16,256,1371,15.0,5.51155
46,Acer,3,IPS Panel,3,1,5,1.6,8,256,1085,17.0,6.613859999999999
47,Huawei,4,IPS Panel,2,1,5,2.5,8,256,1714,13.000000000000002,2.314851
48,HP,3,Full HD,3,1,5,1.6,8,256,1172,17.3,5.51155
49,Dell,4,Full HD,2,1,5,1.6,8,256,1777,13.299999999999999,4.105513381974248
50,Acer,4,IPS Panel,2,1,5,1.2,8,256,1256,13.000000000000002,2.4691744
51,HP,3,Full HD,3,1,7,1.8,8,256,1327,17.3,5.51155
52,Dell,4,Full HD,2,1,7,1.8,8,256,1841,13.299999999999999,2.6455439999999997
53,Dell,4,IPS Panel,1,1,7,1.8,8,256,1184,13.000000000000002,3.0864679999999995
54,HP,3,Full HD,3,1,7,1.8,8,256,1310,14.0,3.5935305999999994
55,Dell,4,Full HD,2,1,5,1.6,8,256,1460,14.0,3.527392
56,Dell,3,Full HD,1,2,5,1.6,8,256,860,15.600000000000001,4.850164
57,Toshiba,4,Full HD,2,1,7,2.5,8,256,1731,13.299999999999999,2.6455439999999997
58,Acer,3,Full HD,3,1,7,2.7,8,256,1057,15.600000000000001,4.850164
59,Asus,3,Full HD,3,1,5,2.5,8,256,977,15.600000000000001,4.40924
60,Dell,3,Full HD,2,1,5,2.5,8,256,1091,14.0,3.527392
61,Dell,3,Full HD,1,2,7,2.7,16,256,1142,15.600000000000001,4.105513381974248
62,Acer,1,IPS Panel,3,1,5,2.5,8,256,1075,15.0,5.51155
63,Dell,1,Full HD,3,1,5,2.5,8,256,1117,15.600000000000001,5.6438272
64,Asus,1,Full HD,3,1,7,2.9,16,256,3810,17.3,7.9366319999999995
65,Acer,3,IPS Panel,3,1,3,2.7,4,256,892,17.0,6.613859999999999
66,Dell,4,Full HD,2,1,5,1.6,8,256,1206,13.299999999999999,3.1085141999999997
67,Lenovo,3,Full HD,2,1,7,1.8,8,256,1118,15.600000000000001,4.519470999999999
68,Dell,3,Full HD,1,2,7,1.8,8,256,934,15.600000000000001,4.105513381974248
69,Lenovo,1,IPS Panel,3,1,5,2.5,8,256,1053,15.0,5.51155
70,Lenovo,3,Full HD,2,1,5,2.5,6,256,735,15.600000000000001,4.850164
71,Acer,3,IPS Panel,3,1,7,1.8,8,256,1208,15.0,6.613859999999999
72,Lenovo,3,IPS Panel,2,1,7,2.7,8,256,1394,15.0,4.299009
73,Asus,4,Full HD,3,1,5,2.5,8,256,1241,15.600000000000001,3.7478539999999994
74,Dell,3,Full HD,3,1,7,2.8,8,256,2323,15.600000000000001,4.40924
75,Lenovo,3,Full HD,2,1,5,1.6,8,256,939,15.600000000000001,4.519470999999999
76,Acer,3,Full HD,3,2,7,2.8,8,256,1244,15.600000000000001,5.51155
77,Dell,5,Full HD,3,1,7,2.9,16,256,3665,17.3,7.539800399999999
78,Toshiba,3,IPS Panel,3,1,7,2.5,8,256,1325,15.0,4.850164
79,Lenovo,3,IPS Panel,2,1,5,2.5,8,256,1269,13.000000000000002,2.425082
80,HP,3,Full HD,2,1,5,2.5,8,256,1245,14.0,4.299009
81,HP,3,Full HD,2,1,7,2.7,8,256,1641,14.0,3.2628375999999997
82,Asus,3,Full HD,2,1,7,2.7,8,256,1390,14.0,4.40924
83,Asus,4,Full HD,3,1,7,2.7,8,256,1334,15.600000000000001,3.7478539999999994
84,HP,4,Full HD,2,1,7,2.7,8,256,1696,12.5,2.7778212
85,Toshiba,3,IPS Panel,2,1,5,2.5,8,256,1198,15.0,4.40924
86,Asus,1,Full HD,3,1,7,2.8,8,256,1269,15.600000000000001,5.51155
87,HP,3,Full HD,2,1,5,2.6,8,256,1611,14.0,3.2628375999999997
88,HP,3,Full HD,2,1,5,2.5,8,256,1453,15.600000000000001,4.0565008
89,Dell,3,Full HD,3,1,5,1.6,8,256,1452,15.600000000000001,4.40924
90,Dell,4,Full HD,2,1,7,1.8,8,256,2006,13.299999999999999,2.6455439999999997
91,HP,3,Full HD,2,1,7,2.7,8,256,1656,15.600000000000001,4.0565008
92,HP,5,Full HD,3,1,7,2.8,8,256,2208,15.600000000000001,5.732012
93,Dell,3,Full HD,2,1,5,2.6,8,256,1813,14.0,2.9982832
94,Asus,3,Full HD,2,1,5,2.5,8,256,1200,14.0,4.40924
95,Dell,3,Full HD,1,1,7,2.7,8,256,1142,15.600000000000001,5.136764599999999
96,HP,4,IPS Panel,2,1,7,2.7,8,256,2223,14.0,2.9982832
97,Lenovo,3,IPS Panel,3,1,5,2.5,8,256,1396,14.0,3.3069299999999995
98,Lenovo,3,IPS Panel,2,1,3,2.4,4,128,697,13.000000000000002,3.3069299999999995
99,Dell,5,IPS Panel,3,1,7,2.7,8,256,2712,15.0,4.40924
100,MSI,1,Full HD,3,1,7,2.8,8,256,1714,17.3,5.952474
101,Dell,3,Full HD,1,2,7,2.7,8,256,989,15.600000000000001,5.136764599999999
102,Lenovo,3,IPS Panel,1,1,7,1.8,8,256,1562,15.0,4.629702
103,Lenovo,3,IPS Panel,2,1,5,2.5,8,256,1192,14.0,4.188777999999999
104,Acer,3,Full HD,3,2,7,2.8,8,256,1117,15.600000000000001,5.51155
105,Dell,3,Full HD,1,2,5,2.5,4,256,761,15.600000000000001,5.070625999999999
106,HP,4,Full HD,2,1,7,2.5,8,256,1905,14.0,3.1526065999999995
107,Lenovo,4,IPS Panel,1,1,7,1.8,8,256,1544,14.0,3.8580849999999995
108,HP,3,Full HD,2,1,7,2.9,8,256,1813,15.600000000000001,5.0926722
109,Dell,4,Full HD,2,2,7,2.8,8,256,1396,14.0,3.527392
110,Lenovo,3,IPS Panel,2,1,7,2.7,8,256,1283,13.000000000000002,3.0864679999999995
111,Lenovo,3,IPS Panel,2,1,3,2.7,4,128,761,14.0,3.7478539999999994
112,Asus,3,Full HD,2,2,5,2.5,4,256,710,15.600000000000001,4.40924
113,Dell,3,Full HD,1,1,5,1.6,4,256,951,15.600000000000001,4.850164
114,Lenovo,4,IPS Panel,2,1,5,2.5,8,256,1815,12.0,2.9982832
115,Dell,3,Full HD,3,1,5,2.8,8,256,1498,14.0,3.6155767999999995
116,MSI,1,Full HD,3,1,5,2.5,8,256,1306,15.600000000000001,4.850164
117,Dell,5,IPS Panel,3,1,7,2.7,16,256,2509,15.0,4.784025399999999
118,Lenovo,3,Full HD,2,1,5,2.5,8,256,1709,14.0,3.6376229999999996
119,Lenovo,3,Full HD,3,1,7,2.9,8,256,2655,15.600000000000001,5.886335399999999
120,Dell,4,Full HD,2,1,5,1.6,8,256,2340,14.673076923076925,3.1305603999999994
121,Dell,5,Full HD,3,1,7,2.8,8,256,3059,15.600000000000001,3.9242236
122,Toshiba,3,IPS Panel,2,1,5,2.5,8,256,2124,13.000000000000002,2.314851
123,HP,3,IPS Panel,2,1,5,1.6,4,128,922,13.000000000000002,3.2848838
124,Lenovo,3,IPS Panel,2,1,5,1.6,8,256,1333,14.0,3.8580849999999995
125,Lenovo,3,IPS Panel,3,1,5,2.5,8,256,1286,15.0,5.070625999999999
126,Lenovo,3,Full HD,2,1,7,1.8,8,256,1142,15.600000000000001,4.784025399999999
127,Lenovo,3,IPS Panel,2,1,3,2.4,8,256,1206,13.000000000000002,3.0864679999999995
128,Lenovo,3,IPS Panel,2,1,5,2.5,8,256,1157,15.0,5.070625999999999
129,Lenovo,3,Full HD,2,1,5,2.5,8,256,1206,13.299999999999999,3.1746527999999996
130,Dell,4,IPS Panel,2,1,5,2.5,8,128,1142,13.299999999999999,2.8439598
131,HP,3,Full HD,3,1,5,2.5,8,256,1129,15.600000000000001,4.4974248
132,HP,4,IPS Panel,2,1,7,2.7,8,256,1777,13.000000000000002,2.9100984
133,Dell,3,Full HD,2,1,5,2.6,8,256,1626,14.0,3.6155767999999995
134,Lenovo,3,Full HD,2,1,5,2.3,8,256,1702,14.0,4.4533324
135,Dell,3,Full HD,2,1,5,2.8,8,256,1749,15.600000000000001,4.188777999999999
136,Dell,3,Full HD,3,1,7,2.8,8,256,1739,15.600000000000001,4.2549166
137,Dell,3,Full HD,1,1,5,1.6,8,256,1013,15.600000000000001,4.850164
138,Lenovo,3,IPS Panel,3,1,7,2.7,8,256,1091,14.0,4.1226394
139,Dell,3,Full HD,2,1,3,2.0,4,128,935,14.0,3.527392
140,HP,3,Full HD,2,1,3,2.4,4,128,896,15.600000000000001,4.629702
141,Lenovo,3,Full HD,2,1,3,2.0,4,128,634,15.600000000000001,4.850164
142,Dell,3,Full HD,2,1,5,2.5,8,256,1419,15.600000000000001,4.188777999999999
143,Lenovo,3,Full HD,2,1,3,2.7,4,128,800,15.600000000000001,4.519470999999999
144,Lenovo,3,IPS Panel,3,1,7,2.8,8,256,3810,17.0,7.495707999999999
145,Lenovo,3,Full HD,2,1,5,2.5,8,256,1054,15.600000000000001,5.070625999999999
146,Dell,3,Full HD,1,2,7,2.7,8,256,951,15.600000000000001,4.850164
147,HP,3,Full HD,2,1,3,2.4,4,128,913,13.299999999999999,3.2848838
148,Dell,3,Full HD,3,1,7,2.8,16,256,1953,15.600000000000001,4.2549166
149,Lenovo,4,IPS Panel,2,1,7,2.6,12,256,2125,14.0,3.0864679999999995
150,Lenovo,3,IPS Panel,2,1,5,2.5,8,256,1872,14.0,3.7478539999999994
151,Dell,5,Full HD,3,1,7,2.8,8,256,2240,14.673076923076925,4.5415171999999995
152,HP,3,Full HD,2,1,7,2.7,8,256,1548,15.600000000000001,4.0565008
153,Toshiba,3,IPS Panel,2,1,7,2.5,8,256,1777,15.0,4.850164
154,Dell,3,Full HD,1,2,5,2.5,4,128,723,15.600000000000001,4.8060716
155,Lenovo,3,Full HD,2,1,5,2.3,8,256,1861,14.0,3.6376229999999996
156,Dell,3,Full HD,3,1,7,2.8,8,256,2312,15.600000000000001,4.40924
157,Lenovo,3,Full HD,2,1,5,1.6,4,256,1053,15.600000000000001,3.9683159999999997
158,Acer,4,IPS Panel,2,1,5,2.5,8,256,1167,14.0,3.9683159999999997
159,Razer,1,Full HD,3,1,7,2.8,16,256,3301,14.0,4.299009
160,Toshiba,3,Full HD,2,1,5,2.3,8,256,1541,13.299999999999999,2.6455439999999997
161,Lenovo,4,IPS Panel,2,1,7,2.7,8,256,2012,12.0,2.9982832
162,Dell,4,Full HD,2,1,5,1.6,8,256,1842,13.299999999999999,2.6455439999999997
163,Dell,3,Full HD,1,1,7,1.8,8,256,1167,15.600000000000001,4.850164
164,Dell,3,Full HD,2,1,5,2.4,8,256,1561,14.0,3.4392072
165,Toshiba,3,IPS Panel,2,1,5,2.5,8,256,1598,15.0,4.40924
166,Asus,4,Full HD,2,1,5,2.5,8,256,1442,14.0,2.425082
167,Acer,1,Full HD,3,1,5,2.5,16,256,1650,15.600000000000001,5.51155
168,MSI,1,Full HD,3,1,5,2.5,8,256,1268,15.600000000000001,4.850164
169,HP,3,IPS Panel,1,1,3,2.0,4,256,888,17.0,5.51155
170,Lenovo,3,Full HD,2,1,5,2.5,4,256,888,14.0,3.7478539999999994
171,Toshiba,3,IPS Panel,2,1,5,2.5,8,256,1236,13.000000000000002,3.3069299999999995
172,Dell,3,Full HD,2,1,5,2.5,8,256,1010,15.600000000000001,4.8060716
173,Lenovo,3,Full HD,2,1,5,2.3,8,256,1513,14.0,3.9683159999999997
174,Dell,3,Full HD,3,2,5,2.8,8,256,1383,14.0,3.6155767999999995
175,Lenovo,3,IPS Panel,3,1,5,2.5,8,256,1089,14.0,4.1226394
176,Dell,3,Full HD,2,1,5,2.6,8,256,1498,15.600000000000001,4.188777999999999
177,HP,3,Full HD,3,1,7,2.7,8,256,1524,17.3,5.7981506
178,Lenovo,4,IPS Panel,2,1,5,2.5,8,256,1904,14.0,2.9100984
179,Lenovo,3,IPS Panel,2,1,5,2.5,8,256,1219,13.000000000000002,3.1746527999999996
180,HP,5,Full HD,3,1,7,2.8,16,256,3073,15.600000000000001,5.732012
181,Toshiba,3,IPS Panel,2,1,5,2.5,8,256,1950,14.0,2.755775
182,Samsung,4,Full HD,2,1,7,2.7,16,256,2095,13.299999999999999,1.7857422
183,HP,3,Full HD,2,1,3,2.0,8,256,685,15.600000000000001,4.1005932
184,HP,3,Full HD,2,1,5,2.4,8,256,2414,15.600000000000001,4.0565008
185,HP,5,Full HD,3,1,7,2.6,8,256,1983,15.600000000000001,5.709965799999999
186,Dell,4,Full HD,2,1,7,2.8,16,256,2361,12.5,2.6014515999999994
187,Samsung,4,Full HD,2,1,7,2.7,8,256,2031,14.673076923076925,2.8880521999999997
188,Dell,3,Full HD,1,1,7,2.7,16,256,1501,15.600000000000001,5.070625999999999
189,Acer,3,IPS Panel,2,1,3,2.4,4,128,808,14.0,3.9683159999999997
190,Dell,1,Full HD,3,1,5,2.5,8,256,1251,15.600000000000001,5.7761043999999995
191,Dell,3,Full HD,1,1,3,2.0,8,256,939,15.600000000000001,4.40924
192,HP,5,Full HD,3,1,7,2.8,8,256,2623,15.600000000000001,6.9225068
193,Asus,3,Full HD,2,1,5,2.5,8,256,1396,15.600000000000001,5.2249494
194,Dell,4,Full HD,2,1,5,2.5,8,256,1904,13.299999999999999,2.8439598
195,Samsung,4,Full HD,2,1,5,2.5,8,256,1904,13.299999999999999,1.7857422
196,Dell,3,Full HD,1,1,5,2.5,8,256,1003,15.600000000000001,4.8060716
197,Lenovo,4,Full HD,2,1,7,2.7,8,256,2361,14.0,2.9100984
198,MSI,1,Full HD,3,1,5,2.5,8,256,1523,15.600000000000001,5.291087999999999
199,Acer,3,IPS Panel,2,1,3,2.4,8,128,786,14.0,3.3069299999999995
200,Lenovo,3,Full HD,2,1,5,2.3,8,256,1507,14.0,3.7478539999999994
201,Lenovo,3,IPS Panel,2,1,5,2.6,8,256,2096,14.0,2.9100984
202,Dell,3,Full HD,1,1,7,2.7,4,256,939,15.600000000000001,4.8060716
203,Lenovo,4,IPS Panel,3,1,7,2.8,8,256,2417,14.0,4.321055199999999
204,Asus,3,IPS Panel,3,1,7,2.7,8,256,1000,15.0,5.070625999999999
205,Dell,3,Full HD,2,1,5,2.5,8,128,1200,15.600000000000001,4.188777999999999
206,HP,3,Full HD,1,1,5,2.6,8,256,1714,15.600000000000001,4.0565008
207,Toshiba,3,Full HD,2,1,5,2.5,4,128,1632,13.299999999999999,2.314851
208,Acer,3,IPS Panel,2,1,5,2.5,8,256,1146,14.0,3.4392072
209,Toshiba,3,IPS Panel,2,1,7,2.7,8,256,1763,15.0,4.40924
210,Samsung,4,Full HD,3,1,7,2.7,16,256,2349,15.0,2.7116825999999996
211,Dell,4,Full HD,2,1,7,2.8,8,256,2147,12.5,3.527392
212,Xiaomi,4,IPS Panel,3,1,5,2.3,8,256,1188,13.000000000000002,2.8219136
213,HP,3,Full HD,2,1,5,2.5,4,256,1066,15.600000000000001,4.4974248
214,HP,3,Full HD,2,1,5,2.5,4,128,1607,14.0,4.299009
215,Samsung,4,Full HD,2,1,7,2.7,8,256,2158,15.0,2.5794053999999997
216,Lenovo,4,IPS Panel,2,1,5,2.5,8,256,2285,14.0,2.9100984
217,Toshiba,3,Full HD,2,1,5,2.5,8,256,1874,13.299999999999999,2.314851
218,Dell,3,Full HD,2,1,5,2.8,8,256,1531,14.0,3.527392
219,Lenovo,3,Full HD,3,1,7,2.7,6,256,1002,15.600000000000001,4.850164
220,HP,3,Full HD,3,1,7,2.7,8,256,1294,15.600000000000001,4.4974248
221,Lenovo,3,Full HD,2,1,5,2.5,4,128,1119,13.299999999999999,3.1746527999999996
222,HP,3,Full HD,2,1,5,2.5,8,256,1219,13.299999999999999,3.2848838
223,HP,4,Full HD,1,1,7,2.5,8,256,1648,15.600000000000001,4.0565008
224,Toshiba,3,IPS Panel,3,1,7,2.6,16,256,2509,15.0,5.291087999999999
225,Lenovo,4,IPS Panel,2,1,7,2.7,8,256,2096,12.0,2.9982832
226,HP,3,Full HD,2,1,5,2.3,8,256,1480,15.600000000000001,5.0926722
227,Toshiba,3,IPS Panel,2,1,5,2.3,4,128,1404,14.0,3.2407913999999995
228,HP,2,Full HD,2,1,5,2.3,8,256,2120,12.5,2.7778212
229,Dell,4,Full HD,2,1,5,2.5,8,256,2082,14.0,2.9982832
230,Dell,4,Full HD,2,1,5,2.5,8,256,1870,14.673076923076925,2.9982832
231,Dell,4,Full HD,2,1,7,2.8,8,256,2255,14.0,2.9982832
232,Toshiba,3,Full HD,2,1,5,2.3,8,256,1855,13.299999999999999,2.6455439999999997
233,Lenovo,4,IPS Panel,2,1,7,2.6,8,256,1891,14.0,3.7478539999999994
234,Toshiba,3,Full HD,2,1,5,2.4,8,256,1950,13.299999999999999,2.6455439999999997
235,Lenovo,4,IPS Panel,2,1,5,2.6,8,256,2236,12.0,2.9982832
236,Lenovo,3,Full HD,3,1,5,2.5,6,256,883,15.600000000000001,5.291087999999999
237,Toshiba,3,Full HD,2,1,5,2.3,8,256,1499,14.0,4.299009
